scenario,weight_model,any_target_acquisition_rate_mean,any_target_acquisition_rate_ci_low,any_target_acquisition_rate_ci_high,copy_goal_completion_rate_mean,copy_goal_completion_rate_ci_low,copy_goal_completion_rate_ci_high,avg_total_pulls_mean,avg_total_pulls_ci_low,avg_total_pulls_ci_high,avg_wasted_progress_mean,avg_wasted_progress_ci_low,avg_wasted_progress_ci_high,avg_frustration_score_mean,avg_frustration_score_ci_low,avg_frustration_score_ci_high,mean_churn_propensity_mean,mean_churn_propensity_ci_low,mean_churn_propensity_ci_high,weighted_churn_propensity_mean,weighted_churn_propensity_ci_low,weighted_churn_propensity_ci_high,observed_churn_rate_mean,observed_churn_rate_ci_low,observed_churn_rate_ci_high,avg_dupe_utility_mean,avg_dupe_utility_ci_low,avg_dupe_utility_ci_high
A_baseline_hard_pity,equal_weight,0.7129,0.707152523026966,0.718647476973034,0.5035499999999999,0.49627999682103074,0.5108200031789691,467.12735000000004,460.82545120016516,473.4292487998349,0.2438889168470418,0.24199533132974602,0.2457825023643376,0.4585896999703877,0.4565649220420735,0.46061447789870186,0.4559580441191963,0.45324013864786616,0.4586759495905265,0.4559580441191963,0.45324013864786616,0.4586759495905265,0.9534499999999999,0.9510475004682621,0.9558524995317377,0.4570921027580249,0.45373719617323166,0.4604470093428182
A_baseline_hard_pity,f2p_heavy,0.7129,0.707152523026966,0.718647476973034,0.5035499999999999,0.49627999682103074,0.5108200031789691,467.12735000000004,460.82545120016516,473.4292487998349,0.2438889168470418,0.24199533132974602,0.2457825023643376,0.4585896999703877,0.4565649220420735,0.46061447789870186,0.4559580441191963,0.45324013864786616,0.4586759495905265,0.574198751349198,0.5698153747300564,0.5785821279683395,0.9534499999999999,0.9510475004682621,0.9558524995317377,0.4570921027580249,0.45373719617323166,0.4604470093428182
A_baseline_hard_pity,spender_focused,0.7129,0.707152523026966,0.718647476973034,0.5035499999999999,0.49627999682103074,0.5108200031789691,467.12735000000004,460.82545120016516,473.4292487998349,0.2438889168470418,0.24199533132974602,0.2457825023643376,0.4585896999703877,0.4565649220420735,0.46061447789870186,0.4559580441191963,0.45324013864786616,0.4586759495905265,0.43799786042870553,0.434188724453064,0.44180699640434706,0.9534499999999999,0.9510475004682621,0.9558524995317377,0.4570921027580249,0.45373719617323166,0.4604470093428182
B_lower_hard_pity,equal_weight,0.72035,0.7147316182242769,0.7259683817757232,0.5096499999999999,0.5023395970319307,0.5169604029680692,486.07135,480.55672502806055,491.58597497193944,0.29229252547619045,0.2897426082257983,0.2948424427265826,0.46398499239126434,0.4618635385862683,0.4661064461962604,0.45060569436248316,0.4481593560639597,0.45305203266100663,0.45060569436248316,0.4481593560639597,0.45305203266100663,0.9484,0.9458704944708062,0.9509295055291939,0.4722441778137062,0.4692076886698354,0.475280666957577
B_lower_hard_pity,f2p_heavy,0.72035,0.7147316182242769,0.7259683817757232,0.5096499999999999,0.5023395970319307,0.5169604029680692,486.07135,480.55672502806055,491.58597497193944,0.29229252547619045,0.2897426082257983,0.2948424427265826,0.46398499239126434,0.4618635385862683,0.4661064461962604,0.45060569436248316,0.4481593560639597,0.45305203266100663,0.5776560109123676,0.572010898162912,0.5833011236618233,0.9484,0.9458704944708062,0.9509295055291939,0.4722441778137062,0.4692076886698354,0.475280666957577
B_lower_hard_pity,spender_focused,0.72035,0.7147316182242769,0.7259683817757232,0.5096499999999999,0.5023395970319307,0.5169604029680692,486.07135,480.55672502806055,491.58597497193944,0.29229252547619045,0.2897426082257983,0.2948424427265826,0.46398499239126434,0.4618635385862683,0.4661064461962604,0.45060569436248316,0.4481593560639597,0.45305203266100663,0.4491663985083578,0.4451749398099943,0.45315785720672136,0.9484,0.9458704944708062,0.9509295055291939,0.4722441778137062,0.4692076886698354,0.475280666957577
C_improved_base_rate,equal_weight,0.8119500000000001,0.8066797215338172,0.817220278466183,0.7127000000000001,0.7084957606580449,0.7169042393419554,574.3385999999999,570.7965501585553,577.8806498414446,0.16668359505772007,0.1649611049821721,0.16840608513326805,0.3639143770818877,0.3622748387310776,0.3655539154326978,0.33967784827142566,0.3373842429899125,0.34197145355293884,0.33967784827142566,0.3373842429899125,0.34197145355293884,0.8486500000000001,0.8451650621877063,0.852134937812294,0.6042784187898611,0.6016186818814809,0.6069381556982413
C_improved_base_rate,f2p_heavy,0.8119500000000001,0.8066797215338172,0.817220278466183,0.7127000000000001,0.7084957606580449,0.7169042393419554,574.3385999999999,570.7965501585553,577.8806498414446,0.16668359505772007,0.1649611049821721,0.16840608513326805,0.3639143770818877,0.3622748387310776,0.3655539154326978,0.33967784827142566,0.3373842429899125,0.34197145355293884,0.47836193057862025,0.47342254734101574,0.48330131381622476,0.8486500000000001,0.8451650621877063,0.852134937812294,0.6042784187898611,0.6016186818814809,0.6069381556982413
C_improved_base_rate,spender_focused,0.8119500000000001,0.8066797215338172,0.817220278466183,0.7127000000000001,0.7084957606580449,0.7169042393419554,574.3385999999999,570.7965501585553,577.8806498414446,0.16668359505772007,0.1649611049821721,0.16840608513326805,0.3639143770818877,0.3622748387310776,0.3655539154326978,0.33967784827142566,0.3373842429899125,0.34197145355293884,0.3084173373736398,0.3046352918737927,0.3121993828734869,0.8486500000000001,0.8451650621877063,0.852134937812294,0.6042784187898611,0.6016186818814809,0.6069381556982413
D_carryover_pity,equal_weight,0.74075,0.736118124689838,0.7453818753101621,0.5707,0.5627020684896378,0.5786979315103622,614.4241,607.8261407666276,621.0220592333723,0.0,0.0,0.0,0.40770856233076547,0.4057569231198862,0.40966020154164473,0.3605468510149281,0.3583604446763794,0.36273325735347683,0.3605468510149281,0.3583604446763794,0.36273325735347683,0.8773,0.8731494046477911,0.8814505953522088,0.4826140063478519,0.4793694061668121,0.4858586065288917
D_carryover_pity,f2p_heavy,0.74075,0.736118124689838,0.7453818753101621,0.5707,0.5627020684896378,0.5786979315103622,614.4241,607.8261407666276,621.0220592333723,0.0,0.0,0.0,0.40770856233076547,0.4057569231198862,0.40966020154164473,0.3605468510149281,0.3583604446763794,0.36273325735347683,0.5114095504473688,0.509331808523531,0.5134872923712066,0.8773,0.8731494046477911,0.8814505953522088,0.4826140063478519,0.4793694061668121,0.4858586065288917
D_carryover_pity,spender_focused,0.74075,0.736118124689838,0.7453818753101621,0.5707,0.5627020684896378,0.5786979315103622,614.4241,607.8261407666276,621.0220592333723,0.0,0.0,0.0,0.40770856233076547,0.4057569231198862,0.40966020154164473,0.3605468510149281,0.3583604446763794,0.36273325735347683,0.34593091196997,0.34160544836199347,0.35025637557794653,0.8773,0.8731494046477911,0.8814505953522088,0.4826140063478519,0.4793694061668121,0.4858586065288917
E_token_spark_250,equal_weight,0.7428,0.7380297717734543,0.7475702282265457,0.6631,0.6582200766854841,0.6679799233145159,697.1942499999999,692.2562140745978,702.132285925402,0.17623569967532465,0.17510242908682036,0.17736897026382895,0.39824124797391436,0.3966985856006727,0.399783910347156,0.3368142621830682,0.33449855329929795,0.33912997106683845,0.3368142621830682,0.33449855329929795,0.33912997106683845,0.7686,0.7630030263733176,0.7741969736266823,0.5480273158607856,0.5453569045484994,0.5506977271730717
E_token_spark_250,f2p_heavy,0.7428,0.7380297717734543,0.7475702282265457,0.6631,0.6582200766854841,0.6679799233145159,697.1942499999999,692.2562140745978,702.132285925402,0.17623569967532465,0.17510242908682036,0.17736897026382895,0.39824124797391436,0.3966985856006727,0.399783910347156,0.3368142621830682,0.33449855329929795,0.33912997106683845,0.5177366732207037,0.5148033472179262,0.5206699992234812,0.7686,0.7630030263733176,0.7741969736266823,0.5480273158607856,0.5453569045484994,0.5506977271730717
E_token_spark_250,spender_focused,0.7428,0.7380297717734543,0.7475702282265457,0.6631,0.6582200766854841,0.6679799233145159,697.1942499999999,692.2562140745978,702.132285925402,0.17623569967532465,0.17510242908682036,0.17736897026382895,0.39824124797391436,0.3966985856006727,0.399783910347156,0.3368142621830682,0.33449855329929795,0.33912997106683845,0.3276823481031491,0.322793839160211,0.33257085704608724,0.7686,0.7630030263733176,0.7741969736266823,0.5480273158607856,0.5453569045484994,0.5506977271730717
